0.11,-0.013,-0.0368,11.36375,-2.32375,-2.82926094547476,7.16302083333333,7.78059895833333,6.85755208333333,7.01692708333333,163.76703,103.7533,172.58527,167.63416,-0.183259571459405,78.515,78.515,78.515
0.174,-0.024,-0.0175,12.905,-2.86125,-2.39930909692927,7.57252604166667,7.78059895833333,7.4640625,7.50169270833333,382.47949,103.7533,333.46661,323.49115,-0.18762289458939,78.52,78.52,78.52
0.229,-0.034,-0.0479,11.8075,-2.09375,-1.78278862859252,7.57252604166667,7.78059895833333,7.4640625,7.50169270833333,382.47949,103.7533,333.46661,323.49115,-0.191986217719376,78.525,78.525,78.525
0.287,-0.039,-0.056,10.98,-0.83625,-1.27002399036127,7.57252604166667,6.81549479166667,7.4640625,7.50169270833333,382.47949,422.63025,333.46661,323.49115,-0.200712863979348,78.53,78.53,78.53
0.34,-0.039,-0.0594,10.15625,-0.24125,-1.03762021567819,7.57252604166667,6.81549479166667,7.4640625,7.50169270833333,382.47949,422.63025,333.46661,323.49115,-0.205076187109334,78.535,78.535,78.535
0.396,-0.04,-0.0534,8.57,0.18375,-1.09142566095742,6.076171875,6.81549479166667,6.939453125,6.541015625,436.50214,422.63025,459.2215,379.1983,-0.20943951023932,78.54,78.54,78.54
0.448,-0.039,-0.0686,8.9,0.1,-1.30650117472093,6.076171875,6.81549479166667,6.939453125,6.541015625,436.50214,422.63025,459.2215,379.1983,-0.213802833369305,78.545,78.545,78.545
0.501,-0.04,-0.0827,9.255,-0.77,-1.54494043153,6.076171875,2.79348958333333,6.939453125,6.541015625,436.50214,217.02795,459.2215,379.1983,-0.222529479629277,78.55,78.55,78.55
0.547,-0.046,-0.0763,8.85875,-1.57375,-1.72250417951472,6.076171875,2.79348958333333,6.939453125,6.541015625,436.50214,217.02795,459.2215,379.1983,-0.226892802759263,78.555,78.555,78.555
0.584,-0.056,-0.0983,8.16875,-1.81875,-1.78815347173999,1.706640625,2.79348958333333,2.28658854166667,2.08958333333333,442.22955,217.02795,520.58289,469.13837,-0.235619449019234,78.56,78.56,78.56
